TeamName,SeedID,Round,CurrentRound,Score
Alabama,1,16,64,96
Texas A&M Corpus Chris,16,64,64,75
Maryland,8,32,64,67
West Virginia,9,64,64,65
San Diego St.,5,2,64,63
College of Charleston,12,64,64,57
Virginia,4,64,64,67
Furman,13,32,64,68
Creighton,6,8,64,72
North Carolina St.,11,64,64,63
Baylor,3,32,64,74
UC Santa Barbara,14,64,64,56
Missouri,7,32,64,76
Utah St.,10,64,64,65
Arizona,2,64,64,55
Princeton,15,16,64,59
Purdue,1,64,64,58
Fairleigh Dickinson,16,32,64,63
Memphis,8,64,64,65
Florida Atlantic,9,4,64,66
Duke,5,32,64,74
Oral Roberts,12,64,64,51
Tennessee,4,16,64,58
Louisiana Lafayette,13,64,64,55
Kentucky,6,32,64,61
Providence,11,64,64,53
Kansas St.,3,8,64,77
Montana St.,14,64,64,65
Michigan St.,7,16,64,72
USC,10,64,64,62
Marquette,2,32,64,78
Vermont,15,64,64,61
Houston,1,16,64,63
Northern Kentucky,16,64,64,52
Iowa,8,64,64,75
Auburn,9,32,64,83
Miami FL,5,4,64,63
Drake,12,64,64,56
Indiana,4,32,64,71
Kent St.,13,64,64,60
Iowa St.,6,64,64,41
Pittsburgh,11,32,64,59
Xavier,3,16,64,72
Kennesaw St.,14,64,64,67
Texas A&M,7,64,64,59
Penn St.,10,32,64,76
Texas ,2,8,64,81
Colgate,15,64,64,61
Kansas,1,32,64,96
Howard,16,64,64,68
Arkansas,8,16,64,73
Illinois,9,64,64,63
Saint Mary's,5,32,64,63
VCU,12,64,64,51
Connecticut,4,1,64,87
Iona,13,64,64,63
TCU,6,32,64,72
Arizona St.,11,64,64,70
Gonzaga,3,8,64,82
Grand Canyon,14,64,64,70
Northwestern,7,32,64,75
Boise St.,10,64,64,67
UCLA,2,16,64,86
UNC Asheville,15,64,64,53
Alabama,1,16,32,73
Maryland,8,32,32,51
San Diego St.,5,2,32,75
Furman,13,32,32,52
Creighton,6,8,32,85
Baylor,3,32,32,76
Missouri,7,32,32,63
Princeton,15,16,32,78
Fairleigh Dickinson,16,32,32,70
Florida Atlantic,9,4,32,78
Duke,5,32,32,52
Tennessee,4,16,32,65
Kentucky,6,32,32,69
Kansas St.,3,8,32,75
Michigan St.,7,16,32,69
Marquette,2,32,32,60
Houston,1,16,32,81
Auburn,9,32,32,64
Miami FL,5,4,32,85
Indiana,4,32,32,69
Pittsburgh,11,32,32,73
Xavier,3,16,32,84
Penn St.,10,32,32,66
Texas ,2,8,32,71
Kansas,1,32,32,71
Arkansas,8,16,32,72
Saint Mary's,5,32,32,55
Connecticut,4,1,32,70
TCU,6,32,32,81
Gonzaga,3,8,32,84
Northwestern,7,32,32,63
UCLA,2,16,32,68
Alabama,1,16,16,64
San Diego St.,5,2,16,71
Creighton,6,8,16,86
Princeton,15,16,16,75
Florida Atlantic,9,4,16,62
Tennessee,4,16,16,55
Kansas St.,3,8,16,98
Michigan St.,7,16,16,93
Houston,1,16,16,75
Miami FL,5,4,16,89
Xavier,3,16,16,71
Texas ,2,8,16,83
Arkansas,8,16,16,65
Connecticut,4,1,16,88
Gonzaga,3,8,16,79
UCLA,2,16,16,76
San Diego St.,5,2,8,57
Creighton,6,8,8,56
Florida Atlantic,9,4,8,79
Kansas St.,3,8,8,76
Miami FL,5,4,8,88
Texas ,2,8,8,81
Connecticut,4,1,8,82
Gonzaga,3,8,8,54
San Diego St.,5,2,4,72
Florida Atlantic,9,4,4,71
Miami FL,5,4,4,59
Connecticut,4,1,4,72
San Diego St.,5,2,2,59
Connecticut,4,1,2,76
